word, meaning, partOfSpeech
dissatisfy, fail to satisfy, verb
fasten, cause to be firmly attached, verb
inhabited, inhabit or live in; be an inhabitant of, verb
dispread, spread abroad or out, verb
disembowel, remove the entrails of, verb
hypophysectomize, remove the pituitary glands, verb
decayed, lose a stored charge or magnetic flux or current, verb
wobbling, move unsteadily, verb
cleave, separate or cut with a tool such as a sharp instrument, verb
dirty, make soiled or filthy  or dirty, verb
contracted, enter into a contractual arrangement, verb
reunify, unify again as of a country, verb
warm, get warm or warmer, verb
impending, be imminent or about to happen, verb
unclad, strip, verb
vivisect, cut (a body) open while still alive, verb
solemnize, observe or perform with dignity or gravity, verb
deride, treat or speak of with contempt, verb
pointed, indicate a place or direction or person or thing; either spatially or figuratively, verb
ganging, act as an organized group, verb
bespeak, be a signal for or a symptom of, verb
objectify, make external or objective or give reality to, verb
arrange, put into a proper or systematic order, verb
overdose, dose too heavily, verb
overseen, watch and direct, verb
outfighting, to fight better than; get the better of, verb
stapled, secure or fasten with a staple or staples, verb
bonk, have sexual intercourse with, verb
outgoing, be or do something to a greater degree, verb
unbutton, undo the buttons of, verb
enslave, make a slave of; bring into servitude, verb
caracole, make a half turn on a horse in dressage, verb
decelerate, lose velocity; move more slowly, verb
satiate, fill to satisfaction, verb
overcultivate, to exhaust by excessive cultivation, verb
partitioned, divide into parts or pieces or sections, verb
whiskered, furnish with whiskers, verb
crowned, invest with regal power; enthrone, verb
please, give pleasure to or be pleasing to, verb
systematize, arrange according to a system or reduce to a system, verb
append, add to the very end, verb
foretold, foreshadow or presage, verb
attach, cause to be attached, verb
intertwine, spin or wind or twist together, verb
towered, appear very large or occupy a commanding position, verb
hoofed, walk, verb
unspelled, release from a spell, verb
caverned, hollow out as if making a cavern, verb
cored, remove the core or center from, verb
ossified, become bony, verb
withdraw, pull back or move away or backward, verb
bended, form a curve, verb
equalling, be identical or equivalent to, verb
patronize, assume sponsorship of, verb
personalize, make personal or more personal, verb
carried, move while supporting either in a vehicle or in one's hands or on one's body, verb
closed, move so that an opening or passage is obstructed; make shut, verb
bechance, become of; happen to, verb
bedraggle, make wet and dirty as from rain, verb
swore, utter obscenities or profanities, verb
affecting, have an effect upon, verb
fallen, descend in free fall under the influence of gravity, verb
fated, decree or designate beforehand, verb
conflate, mix together different elements, verb
disencumber, release from entanglement of difficulty, verb
slaving, work very hard like a slave, verb
centrifugate, rotate at very high speed in order to separate the liquids from the solids, verb
schuss, ski downhill, verb
ingurgitate, overeat or eat immodestly; make a pig of oneself, verb
mesmerize, attract strongly as if with a magnet, verb
retransmit, transmit again, verb
decreasing, decrease in size or extent or range, verb
palisading, surround with a wall in order to fortify, verb
bifurcate, split or divide into two, verb
saddling, put a saddle on, verb
bruising, injure the underlying soft tissue or bone of, verb
deoxygenate, remove oxygen from (water), verb
antecede, be earlier in time; go back further, verb
empurple, color purple, verb
uncrated, remove from the crate, verb
domesticate, adapt (a wild plant or unclaimed land) to the environment, verb
ambulate, walk about; not be bedridden or incapable of walking, verb
coronate, invest with regal power; enthrone, verb
replant, plant again or anew, verb
decarboxylate, lose a carboxyl group, verb
traipse, walk or tramp about, verb
retaliate, take revenge for a perceived wrong, verb
suspire, heave or utter a sigh; breathe deeply and heavily, verb
immortalize, be or provide a memorial to a person or an event, verb
preside, act as president, verb
infuscate, darken with a brownish tinge as of insect wings, verb
heraldess, foreshadow or presage, verb
conflated, mix together different elements, verb
romping, play boisterously, verb
hurtle, move with or as if with a rushing sound, verb
mineralize, convert into a mineral substance, verb
fouling, hit a foul ball, verb
begotten, make children, verb
scouress, examine minutely, verb
enlightening, make understand, verb
illustrate, clarify by giving an example of, verb
taken, carry out, verb
qualify, prove capable or fit; meet requirements, verb
grunting, issue a grunting and low animal-like noise, verb
begild, decorate with or as if with gold leaf or liquid gold, verb
complicated, make more complicated, verb
divided, separate into parts or portions, verb
agglutinate, string together (morphemes in an agglutinating language), verb
bypast, avoid something unpleasant or laborious, verb
verbify, make into a verb, verb
backtrack, retrace one's course, verb
intoxicating, fill with high spirits; fill with optimism, verb
transgress, act in disregard of laws or rules or contracts or promises, verb
forked, lift with a pitchfork, verb
aromatize, fill or impregnate with an odor, verb
outfight, to fight better than; get the better of, verb
wired, provide with electrical circuits, verb
wambling, move unsteadily or with a weaving or rolling motion, verb
reassured, cause to feel sure; give reassurance to, verb
couched, formulate in a particular style or language, verb
stanch, stop the flow of a liquid, verb
mincing, make less severe or harsh, verb
slither, to pass or move unobtrusively or smoothly, verb
delighting, give pleasure to or be pleasing to, verb
tramming, travel by tram, verb
counteract, act in opposition to, verb
determine, establish after a calculation or investigation or experiment survey or study, verb
deflected, prevent the occurrence of; prevent from happening, verb
curtail, place restrictions on, verb
varied, become different in some particular way without permanently losing one's or its former characteristics or essence, verb
tattling, speak (about unimportant matters) rapidly and incessantly, verb
vascularize, become vascular and have vessels that circulate fluids, verb
milking, take milk from female mammals, verb
coppering, coat with a layer of copper, verb
respire, breathe easily again as after exertion or anxiety, verb
sleepwalk, walk in one's sleep, verb
decolour, remove color from, verb
calve, release ice, verb
patterning, plan or create according to a model or models, verb
snapping, utter in an angry or sharp or abrupt tone, verb
collected, get or gather together, verb
cronk, utter a hoarse sound like a raven, verb
wallpapering, cover with wallpaper, verb
zoned, regulate housing in; of certain areas of towns, verb
liven, make lively, verb
diffract, undergo diffraction, verb
endow, give qualities or abilities to, verb
compensating, adjust for, verb
nettling, sting with or as with nettles and cause a stinging pain or sensation, verb
disbelieving, reject as false; refuse to accept, verb
unbending, straighten up or out; make straight, verb
destress, reduce the emphasis, verb
beleaguer, annoy persistently, verb
excoriate, express strong disapproval of, verb
stooping, bend one's back forward from the waist on down, verb
