SAMPLE:

word, meaning, partOfSpeech
abandon,to leave or desert,verb
ability,the capacity to do something,noun
able,having the power or capacity to do something,adjective
about,on the subject of,preposition
above,at a higher level than,adverb
abroad,in or to a foreign country,adverb
absence,the state of being away from a place,noun
absolute,complete or perfect,adjective
absolutely,completely or totally,adverb
absorb,to take in or soak up,verb
abstract,existing in thought or as an idea but not having a physical or concrete existence,adjective
abuse,to use something to bad effect or for a bad purpose,verb
academic,related to education,adjective
accelerate,to increase in rate,verb
accent,a distinctive way of pronouncing a language,noun
accept,to agree to receive or undertake something,verb
access,the means or opportunity to approach or enter a place,noun
accident,an unfortunate incident that happens unexpectedly and unintentionally,noun
accompany,to go somewhere with someone,verb
accomplish,to achieve or complete successfully,verb
according,as stated by or in,preposition
account,a record or statement of financial expenditure or receipts,noun
accurate,correct in all details,adjective
accuse,to charge someone with an offense or crime,verb
achieve,to successfully bring about or reach a desired objective or result,verb
acid,a chemical substance that neutralizes alkalis,noun
acknowledge,to accept or admit the existence or truth of something,verb
acquire,to buy or obtain for oneself,verb
across,from one side to the other of,preposition
act,a thing done, an action,noun
action,the process of doing something,noun
active,engaging or ready to engage in physically energetic pursuits,adjective
activity,a situation in which a lot of things are happening or being done,noun
actor,a person who performs in plays or movies or television shows,noun
actual,existing in fact real,adjective
baby,a very young child,noun
back,the rear surface of the human body from the shoulders to the hips,noun
bad,of poor quality or low standard,adjective
bag,a flexible container with an opening at the top,noun
balance,an even distribution of weight enabling someone or something to remain upright and steady,noun
ball,a solid or hollow sphere,noun
bank,a financial institution where people deposit their money,noun
bar,a long rigid piece of wood or similar material typically used as an obstruction,noun
base,the lowest part or edge of something,noun
basic,forming an essential foundation or starting point,adjective
basis,the underlying support or foundation for an idea or argument or process,noun
basket,a container used to hold or carry things,noun
battle,a sustained fight between large organized armed forces,noun
beach,a pebbly or sandy shore especially by the ocean,noun
bear,a large heavy mammal with thick fur and a short tail,noun
beat,to strike or hit repeatedly,verb
beautiful,pleasing the senses or mind aesthetically,adjective
because,for the reason that,conjunction
become,begin to be,verb
bed,a piece of furniture for sleeping or resting on,noun
before,in front of,preposition
begin,to start or commence,verb
behavior,the way in which one acts or conducts oneself especially toward others,noun
behind,at or toward the back of something,preposition
believe,accept that something is true especially without proof,verb
bell,a hollow object typically made of metal and having the shape of a deep inverted cup widening at the lip that sounds a clear musical note when struck,noun
belong,be the property of,verb
below,at a lower level or layer than,preposition
bend,shape or force something straight into a curve or angle,verb
beneath,at or to a lower place or position than,preposition
benefit,an advantage or profit gained from something,noun
beside,at the side of next to,preposition
best,of the most excellent or effective or desirable type or quality,adjective
bet,a wager,noun
better,of a more excellent or effective type or quality,adjective
