word, meaning, partOfSpeech
ability, the capacity to do something, noun
absence, the state of being away from a place, noun
accent, a distinctive way of pronouncing a language, noun
access, the means or opportunity to approach or enter a place, noun
accident, an unfortunate incident that happens unexpectedly and unintentionally, noun
account, a record or statement of financial expenditure or receipts, noun
acid, a chemical substance that neutralizes alkalis, noun
action, the process of doing something, noun
activity, a situation in which a lot of things are happening or being done, noun
actor, a person who performs in plays or movies or television shows, noun
baby, a very young child, noun
back, the rear surface of the human body from the shoulders to the hips, noun
bag, a flexible container with an opening at the top, noun
balance, an even distribution of weight enabling someone or something to remain upright and steady, noun
ball, a solid or hollow sphere, noun
bank, a financial institution where people deposit their money, noun
bar, a long rigid piece of wood or similar material typically used as an obstruction, noun
base, the lowest part or edge of something, noun
basis, the underlying support or foundation for an idea or argument or process, noun
basket, a container used to hold or carry things, noun
battle, a sustained fight between large organized armed forces, noun
beach, a pebbly or sandy shore especially by the ocean, noun
bear, a large heavy mammal with thick fur and a short tail, noun
bed, a piece of furniture for sleeping or resting on, noun
behavior, the way in which one acts or conducts oneself especially toward others, noun
bell, a hollow object typically made of metal and having the shape of a deep inverted cup widening at the lip that sounds a clear musical note when struck, noun
benefit, an advantage or profit gained from something, noun
bet, a wager, noun
